                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.47449,                0.39203,                0.96622,                0.96534,                0.91604,                0.94521,                0.83391,                 0.5063,                0.35016,                0.94764,             0.00022627,             0.00022627,             0.00022627
                     71,                0.45306,                0.37568,                0.95516,                0.97818,                0.90825,                0.95407,                0.85085,                0.50377,                0.34387,                0.95304,              0.0002192,              0.0002192,              0.0002192
                     72,                0.44825,                0.36806,                0.95015,                0.96956,                0.90898,                0.94793,                0.84438,                0.48485,                0.34196,                0.93508,             0.00021213,             0.00021213,             0.00021213
                     73,                0.47145,                 0.3857,                0.95871,                0.98023,                0.90229,                0.94326,                0.83897,                0.49877,                0.35525,                0.94084,             0.00020506,             0.00020506,             0.00020506
                     74,                0.46081,                0.36812,                0.96342,                 0.9709,                0.90297,                0.94333,                0.83829,                0.49599,                0.34917,                0.94283,             0.00019799,             0.00019799,             0.00019799
                     75,                0.44511,                0.36678,                0.95666,                0.97169,                0.90549,                0.94564,                0.83998,                0.48786,                 0.3538,                0.94355,             0.00019092,             0.00019092,             0.00019092
                     76,                0.45267,                0.36203,                0.95951,                0.96914,                0.91293,                 0.9448,                0.83732,                0.50335,                0.34422,                0.94671,             0.00018385,             0.00018385,             0.00018385
                     77,                0.44686,                 0.3655,                0.95004,                0.96448,                0.92691,                 0.9433,                0.84177,                0.48103,                 0.3469,                0.92977,             0.00017679,             0.00017679,             0.00017679
                     78,                0.45182,                0.35911,                0.95617,                0.96782,                0.91679,                0.94145,                0.83812,                0.49973,                0.34441,                0.94323,             0.00016972,             0.00016972,             0.00016972
                     79,                0.44036,                0.34569,                0.94645,                0.95626,                 0.9097,                 0.9371,                0.83769,                 0.4985,                0.35169,                0.92848,             0.00016265,             0.00016265,             0.00016265
                     80,                0.42508,                0.35303,                0.94178,                0.97449,                0.90683,                0.93909,                0.83288,                0.49641,                0.34851,                0.94721,             0.00015558,             0.00015558,             0.00015558
                     81,                0.42826,                0.35335,                0.93672,                0.97571,                0.91857,                0.95028,                 0.8521,                0.48659,                0.33906,                0.95392,             0.00014851,             0.00014851,             0.00014851
                     82,                0.43331,                0.35739,                0.94899,                0.95039,                0.93555,                0.95518,                0.85487,                0.47409,                0.33018,                0.93133,             0.00014144,             0.00014144,             0.00014144
                     83,                0.40836,                0.33235,                0.93704,                 0.9811,                0.90158,                0.94858,                0.85931,                0.46455,                0.31208,                0.93513,             0.00013437,             0.00013437,             0.00013437
                     84,                0.42107,                0.34386,                0.94745,                0.96449,                0.91485,                0.93755,                0.84403,                0.47256,                0.35074,                0.93121,             0.00012731,             0.00012731,             0.00012731
                     85,                0.41152,                0.33521,                0.93834,                0.95541,                  0.914,                0.94895,                0.85607,                 0.4648,                0.31601,                0.93132,             0.00012024,             0.00012024,             0.00012024
                     86,                0.41403,                0.32912,                 0.9407,                0.97158,                0.93017,                0.95965,                0.85676,                0.48078,                0.31677,                0.94395,             0.00011317,             0.00011317,             0.00011317
